freq_hz,mag,phase_deg
43930.0,0.454986,-89.3
44212.0,0.452456,-89.53
44355.0,0.451222,-89.62
44643.0,0.44856,-89.9
44788.0,0.447385,-89.96
44935.0,0.445805,-90.06
45230.0,0.44276,-90.36
45380.0,0.441344,-90.47
45530.0,0.440045,-90.66
45833.0,0.436413,-90.86
45987.0,0.435386,-91.01
46141.0,0.433287,-91.04
46453.0,0.430827,-91.45
46610.0,0.429058,-91.45
46769.0,0.427815,-91.66
46928.0,0.426573,-91.8
47251.0,0.423407,-92.03
47414.0,0.421993,-92.19
47578.0,0.420621,-92.11
47743.0,0.419531,-92.31
48077.0,0.415661,-92.36
48246.0,0.4153,-92.55
48415.0,0.413681,-92.58
48587.0,0.412192,-92.74
48759.0,0.410561,-92.77
48932.0,0.409358,-92.83
49283.0,0.40667,-92.94
49460.0,0.40492,-93.1
49639.0,0.404137,-93.06
49819.0,0.401945,-93.26
50000.0,0.400926,-93.28
50182.0,0.399263,-93.38
50366.0,0.397472,-93.47
50551.0,0.396005,-93.58
50738.0,0.394444,-93.72
50926.0,0.392268,-93.79
51115.0,0.391018,-93.95
51306.0,0.389333,-94.06
51692.0,0.386615,-94.39
51887.0,0.38439,-94.32
52083.0,0.382519,-94.51
52281.0,0.382087,-94.62
52481.0,0.379391,-94.79
52682.0,0.378084,-94.87
52885.0,0.377149,-95.05
53089.0,0.375746,-95.08
53295.0,0.373788,-95.19
53502.0,0.37257,-95.31
53711.0,0.372045,-95.52
53922.0,0.370505,-95.49
54134.0,0.369248,-95.62
54348.0,0.368283,-95.79
54563.0,0.367125,-95.87
54781.0,0.36606,-95.95
55000.0,0.364409,-96.09
55221.0,0.363607,-96.2
55444.0,0.36208,-96.34
55668.0,0.360763,-96.44
55894.0,0.359088,-96.63
56122.0,0.358284,-96.66
56352.0,0.356821,-96.85
56584.0,0.354449,-96.93
56818.0,0.353881,-97.08
57054.0,0.352195,-97.17
57292.0,0.349871,-97.3
57531.0,0.348791,-97.4
57773.0,0.347128,-97.56
58017.0,0.345448,-97.6
58263.0,0.344082,-97.75
58511.0,0.341925,-97.84
58761.0,0.340273,-98.04
59013.0,0.338878,-98.08
59267.0,0.336941,-98.25
59524.0,0.335319,-98.35
59783.0,0.333951,-98.4
60044.0,0.332081,-98.54
60307.0,0.330731,-98.72
60573.0,0.329492,-98.72
60841.0,0.328522,-98.87
61111.0,0.326422,-98.91
61384.0,0.325597,-99.03
61659.0,0.324316,-99.09
61937.0,0.323571,-99.16
62217.0,0.322708,-99.28
62500.0,0.320861,-99.44
62785.0,0.319816,-99.49
63073.0,0.318272,-99.66
63364.0,0.316993,-99.73
63657.0,0.315393,-99.86
63953.0,0.314553,-99.94
64252.0,0.313309,-100.1
64554.0,0.310542,-100.17
64858.0,0.310525,-100.39
65166.0,0.308593,-100.51
65476.0,0.30585,-100.56
65789.0,0.305162,-100.86
66106.0,0.303049,-101.03
66425.0,0.301574,-101.08
66748.0,0.299742,-101.28
67073.0,0.298051,-101.47
67402.0,0.296,-101.65
67734.0,0.294965,-101.51
68069.0,0.292978,-101.96
68408.0,0.290986,-101.96
68750.0,0.290021,-101.86
69095.0,0.288287,-102.24
69444.0,0.286872,-102.35
69797.0,0.285681,-102.37
70153.0,0.284442,-102.47
70513.0,0.283185,-102.53
70876.0,0.28195,-102.69
71244.0,0.280388,-102.61
71615.0,0.279713,-102.79
71990.0,0.278357,-102.88
72368.0,0.277025,-102.75
72751.0,0.27577,-102.99
73138.0,0.274602,-103.14
73529.0,0.273198,-103.18
73925.0,0.27218,-103.2
74324.0,0.270572,-103.28
74728.0,0.268939,-103.42
75137.0,0.267215,-103.57
75549.0,0.266042,-103.63
75967.0,0.264346,-103.73
76389.0,0.262103,-103.94
76816.0,0.261054,-103.95
77247.0,0.25934,-104.19
77684.0,0.257835,-104.26
78125.0,0.255976,-104.44
78571.0,0.254321,-104.54
79023.0,0.253131,-104.74
79480.0,0.251712,-104.87
79942.0,0.250132,-105.06
80409.0,0.248366,-105.2
80882.0,0.247708,-105.35
81361.0,0.245924,-105.43
81845.0,0.244571,-105.66
82335.0,0.243586,-105.69
82831.0,0.242212,-105.92
83333.0,0.241173,-105.97
83841.0,0.239974,-106.19
84356.0,0.238886,-106.17
84877.0,0.237406,-106.26
85404.0,0.236408,-106.35
85938.0,0.235045,-106.55
86478.0,0.233744,-106.54
87025.0,0.232301,-106.54
87580.0,0.230513,-106.63
88141.0,0.228772,-106.77
88710.0,0.227304,-106.85
89286.0,0.225103,-106.92
89869.0,0.223211,-106.92
90461.0,0.220892,-107.17
91060.0,0.219054,-107.28
91667.0,0.217048,-107.42
92282.0,0.215238,-107.51
92905.0,0.213259,-107.54
93537.0,0.211363,-107.61
94178.0,0.209176,-107.79
94828.0,0.207156,-107.9
95486.0,0.205337,-107.98
96154.0,0.203374,-108.09
96831.0,0.202,-108.18
97518.0,0.20074,-108.3
98214.0,0.19932,-108.33
98921.0,0.198031,-108.45
99638.0,0.196424,-108.63
